,Date,Price,Signal,
BBCN,12/3/2014,13.79,BUY,106.29
BBCN,11/28/2014,14.265,SELL,106.5
BBCN,11/20/2014,14.09,BUY,105.4
BBCN,11/14/2014,14.63,SELL,105.61
BBCN,11/7/2014,14.2799,BUY,103.29
BBCN,11/4/2014,13.99,SHORT,105.9
BBCN,10/28/2014,13.464,BUY,102.33
BBCN,10/21/2014,14.305,SELL,102.54
BBCN,10/13/2014,14.533,BUY,104.38
BBCN,10/7/2014,14.645,SHORT,104
BBCN,10/3/2014,14.57,BUY,103.88
BBCN,9/16/2014,14.985,SELL,104.09
BBCN,9/2/2014,14.72,BUY,102.45
BBCN,8/27/2014,14.735,SELL,102.66
BBCN,8/19/2014,14.725,BUY,102.8
BBCN,8/15/2014,14.635,SHORT,103.85
BBCN,8/13/2014,14.745,BUY,105.05
BBCN,8/1/2014,15,SHORT,103.71
BBCN,7/30/2014,14.898,BUY,103.42
BBCN,6/24/2014,16.043,SELL,103.63
BBCN,6/18/2014,16.08,BUY,104.08
BBCN,6/11/2014,16.1801,SELL,104.29
BBCN,6/2/2014,15.34,BUY,99.07
BBCN,5/29/2014,15.32,SHORT,99.6
BBCN,5/27/2014,15.29,BUY,99.8
,,,,
BBEP,4/29/2016,0.3643,SHORT,"3,618.00"
BBEP,4/27/2016,0.3556,BUY,"3,545.77"
BBEP,4/19/2016,0.3995,SHORT,"3,207.53"
BBEP,4/12/2016,0.554,BUY,"4,465.83"
BBEP,3/10/2016,0.984,SELL,"4,474.78"
BBEP,2/25/2016,0.5248,BUY,"2,391.33"
BBEP,2/1/2016,0.6889,SELL,"2,396.12"
BBEP,1/21/2016,0.586,BUY,"2,042.30"
BBEP,1/11/2016,0.6403,SHORT,"1,890.20"
BBEP,1/4/2016,0.7058,BUY,"2,091.92"
BBEP,12/30/2015,0.6987,SHORT,"2,121.87"
BBEP,12/23/2015,0.6334,BUY,"1,931.28"
BBEP,11/27/2015,2.0318,SHORT,"1,148.54"
BBEP,11/24/2015,2.07,BUY,"1,174.83"
